Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
The Rose Kitchen,"Indian,South Indian,Chinese,Combo",NA,200,Vda Colony,Ashapur,"S 9/475 A 1 Naibasti, Pandeypur, Varanasi",False,0
SHUBH ANNAPURNA,Indian,NA,250,Nadesar,Nadesar,"S9/84 PANDEYPUR VARANASI, Mavaiya, Nagar Nigam Food Safety Zone-2, Varanasi, Uttar Pradesh-221002",False,0
Dosa Street,"Chinese,South Indian",3.7,200,Premchandra Nagar Phase - 2,Ashapur,"Dosa Street, Daulatpur Road, near Kali Mandir, Pandeypur, Varanasi, Uttar Pradesh, India",False,0
Ishqa's Cake,Bakery,NA,700,IIT,IIT,(VCD Bakery) Elegance Apartment  Flat No. T3 2B House No. 25/33-25 Jawahar Nagar Gurudham Colony Varanasi  Pin 221005,False,0
Deepak sweet house (somaru),"Sweets,Indian",NA,300,IIT,IIT,B34/141-h-9-1 Sarai Surjan Varanasi - 221010,True,0
Banarasi Tadka,"North Indian,Indian,Mughlai,South Indian",3.7,300,Lanka,Lanka,"Next to marwadi sewa sadan, Near SBI Bank, Bhaidani Varanasi",False,0
The Moody Chef,"Chinese,Beverages",NA,300,Lanka,Lanka,"B27/92-25A, Gurudham, Durgakund, Jawahar Nagar Colony, Bhelupur, Varanasi, Uttar Pradesh 221001, India",True,0
Thali king,"Biryani,Snacks",NA,200,Lanka,Lanka,"B2/ 254-k-1, plot no 86, Ravundrapuri , varanasi 221005",False,0
Hunger Valley,"Fast Food,Continental,Italian-American,Chinese",3.4,150,Varanasi,Lanka,B 47/1 Kabir nagar durgakund Varanasi-221005,False,0
Shivam Dosa Corner,Indian,NA,200,Kotwali,IIT,"A 24/83Koyla  Bazar,  Varanasi,    -  221001",True,0
Pizaa in town,"Pizzas,Italian",4.0,199,IIT,IIT,"B-33/54, Sundarpur, Nagwa, Varanasi, Uttar Pradesh 221005, India",False,1
B33 STREET CAFE,"Pizzas,Chinese,Beverages",3.5,199,Kailashpuri Colony,IIT,"Sunderpur Chauraha, Sundarpur, Nagwa, Varanasi, Uttar Pradesh",False,0
Interval,"North Indian,Continental,Chinese",3.9,300,Bhelupur,Bhelupur,B 27/62 A-15 Ravindrapuri  Durgakund road varanasi,True,0
Chrystal Bowl Restaurant,"Italian,North Indian",4.0,500,Bhelupur,Bhelupur,"34-B, Ravindra Puri, Bhelupur, Varanasi",False,0
ARYAN BAKERY & CHAT CORNER,"Bakery,Chaat",NA,200,PANDEYPUR,PANDEYPUR,"SA 2/391-A , PANDEYPUR, VARANASI PANDEYPUR NAGAR NIGAM FOOD SAFETY ZONE-02 VARANASI UTTAR PRADESH-221002",False,0
MOMO -THE DUMPLINGS OF HAPPINESS,Chinese,3.9,200,Lanka,Lanka,"B27/62A, RAVINDRAPURI, BHELUPUR,  Bhelupur, Nagar Nigam Food Safety  Zone-17, Varanasi, Uttar Pradesh - 221005",False,0
Spice Root,"North Indian,Chinese,Biryani",3.8,300,Dumraon Colony,Lanka,"B1/128, plot no 44, assi lanka road, dumraon colony varanasi uttar pradesh",False,1
Sugar bake,"Desserts,Pizzas,Snacks,Bakery,Continental",NA,200,IIT,IIT,"B 27/88-J-1-B-A-1 Plot NO.77-B RAVINDRAPURI,  VARANASI, Nagar Nigam Food Safety Zone-17,  Varanasi, Uttar Pradesh-221010",False,0
3 Idiots,"Indian,North Indian,Biryani,Mughlai,Beverages",2.4,300,Bhelupur,Durgakund,"B 47/1, Kabir Nagar, Near Kids Hospital, Durgakund, Varanasi",False,0
80 Restro,"Beverages,Chinese,Snacks",NA,450,Nadesar,Nadesar,"S-2/232-A-1, Kautilya Kon Rd, Bhojuveer, Varanasi, Uttar Pradesh 221002, India",False,0
Dosa King,"South Indian,Fast Food,Snacks",NA,200,Lanka,Lanka,"241/1, KARAUNDI, VARANASI , Varanasi",False,1
Western Street Cafe & Restaurant,"North Indian,Chinese,Continental,Snacks",4.0,400,Bhelupur,Bhelupur,"B.27/35-8, Ravindrapuri Extention, Bhelupur, Varanasi",False,1
Rolls Delight,Snacks,NA,200,Nadesar,Nadesar,"Gilat Bajar, Badi Maszid, shivpur road, Varanasi",False,0
BANARASI BAATI CHOKHA,"Indian,Chinese,Beverages",3.7,200,Bhelupur,Lanka,"PLOT NO.33B,LANE NO.16,RAVINDRAPURI,BHELUPUR,VARANASI,UTTAR PRADESH -221010",True,0
SHAKERNAWT,Beverages,NA,250,Lanka,Lanka,"B27/62A, RAVINDRAPURI, BHELUPUR,  Bhelupur, Nagar Nigam Food Safety  Zone-17, Varanasi, Uttar Pradesh - 221005",False,0
B33 sundarpur,"Italian,Chinese,Beverages",NA,200,IIT,IIT,"B 33/54 A , BATUAPURA, SUNDARPUR, VARANASI , Bazardiha, Nagar Nigam Food Safety Zone-18, Varanasi, Uttar Pradesh, 221005",False,0
Cafe 65,"North Indian,Chinese",2.7,200,Naria,Bhelupur,"Kabir Nagar, Durgakund,Lanka, Varanasi",False,0
Waah Guru,North Indian,NA,400,Lanka,Lanka,B3/354 lane no.8 RAVINDRAPURI colony varanasi 221005,False,0
Eater's Land,Snacks,NA,400,Lanka,Lanka,B3/354 lane no.8 RAVINDRAPURI colony varanasi 221005,False,0
Dum Laga Ke,Biryani,NA,400,Lanka,Lanka,B3/354 lane no.8 RAVINDRAPURI colony varanasi 221005,False,0
LONDON DA DHABA,"North Indian,Biryani",NA,300,Lanka,Lanka,"KESHARWANI FOOD PARADISE /B-25/33-187, Jawahar Nagar, Extension, Varanasi , Nagar Nigam Food Safety Zone-17, Varanasi 221005",False,0
Sakshi Delicacies,Bakery,NA,400,Lanka,Lanka,"7XRQ+3JR, Sarai Nandan, Bhelupur, Varanasi, Uttar Pradesh 221010, India",True,0
ORANGE BOX,Beverages,NA,300,Lanka,Lanka,"B-25 3 187, Jawahar Nagar, Extension,  Varanasi , Nagar Nigam Food Safety  Zone-17, Varanasi",False,0
Bengla sweet house,"Snacks,Combo",3.3,300,IIT,IIT,"B34/141-H-9-1, sarai surjan nagar nigam food safety zone-16 Varanasi 221010",False,0
Thanco's Natural Ice creams,Indian,NA,120,Lanka,Lanka,VARANASI FOOD COURT PADMSHREE CHAURAHA,False,0
Black Pepper Fast Food Point,"Fast Food,Indian,Chinese",4.1,300,Lanka,Lanka,opposite JRS couching kabir nagar durgakund varanasi,False,1
Indian	Pizza,"Pizzas,Italian",2.5,200,Bhullanpur,IIT,"Village	Kanchanpur,	DLW ,	Varanasi, Netambit	-	221004",False,0
Capsicum,"North Indian,Pizzas,Chinese,South Indian,Bakery",4.0,250,Lanka,Lanka,"Pandit Madan Mohan Malviya Road, Saket Nagar Colony, Lanka, Varanasi",True,1
The Food Darbar,"North Indian,Fast Food,Mughlai,Biryani",NA,300,IIT,IIT,"Add. N 14/2-A, Sunderpur, Sabji Mandi, Varanasi , Sundarpur, Nagar Nigam Food Safety Zone-16, Varanasi, Uttar Pradesh",False,0
Student Adda Cafe & Restaurant,"Chinese,Indian,Snacks",NA,300,Lanka,Lanka,"39/2, HIG Kabir Nagar, Durgakund, Varanasi 221005",False,0
PizzaArch,"Italian,Pizzas,Pastas",NA,300,Lanka,Lanka,"47/1, KABIR NAGAR, DURGA KUND, VARANSAI, Nagwa, Nagar Nigam Food Safety Zone-16, Varanasi, Uttar Pradesh - 221005",False,0
4Brothers Bakery,"Bakery,Desserts",NA,300,Nagwa,Sunderpur,B34/147-K-1B Sarai Nandan Dashmi Varanasi near Shani Dev Mandir,False,0
The Pocket Friendly Restaurant,"North Indian,Chinese",NA,300,Lanka,Lanka,"Add.  39/2, HIG Kabir Nagar, Durgakund, Varanasi 221005",False,0
Prisoner's cafe and restro,"North Indian,Indian,Fast Food,Chinese,Snacks,Beverages",NA,250,Nadesar,Nadesar,"4/68, nai basti, varanasi , Nagar Nigam Food Safety Zone-2,  Varanasi, Uttar Pradesh - 221002",True,1
Jbb Fast Food Corner,"North Indian,Chinese,Mughlai,Biryani",2.5,300,Bhelupur,Bhelupur,"kabir nagar,near kids care hospital,durgakund",False,0
